sku,title,slug,description,variant,price,stock,imageUrl,category,subcategory,brand,mpPreferenceId,externalRef,status
ALQ-DURAGELBOX27G15SAC-001,Duragel Box 27g (15 sachês),duragel-box-27g-15-saches,Gel de carboidrato (27g por dose) para energia rápida em treinos curtos; com eletrólitos. Sabores: Café e Limão.,Café|Limão,,,,Suplemento,,Alquimia da Saúde,,https://www.alquimiadasaude.com.br/duragel-box-27g-15-saches,draft
ALQ-DURAGELBOX40G15SAC-002,Duragel Box 40g (15 sachês),duragel-box-40g-15-saches,"Gel de carboidrato (40g por dose) para treinos longos, com liberação estável de energia. Sabores: Café, Neutro e Tangerina.",Café|Neutro|Tangerina,,,,Suplemento,,Alquimia da Saúde,,https://www.alquimiadasaude.com.br/duragel-box-40g-15-saches,draft
ALQ-DURAGELBOX50G15SAC-003,Duragel Box 50g (15 sachês),duragel-box-50g-15-saches,Gel de carboidrato (50g por dose) focado em energia e endurance para esforços prolongados.,,,,,Suplemento,,Alquimia da Saúde,,https://www.alquimiadasaude.com.br/duragel-box-50g-15-saches,draft
ALQ-PALATINOSEBOX15SAC-004,Palatinose Box (15 sachês),palatinose-box-15-saches,Sachês de isomaltulose (Palatinose™) para energia constante e menor fadiga em treinos de endurance.,,,,,Suplemento,,Alquimia da Saúde,,https://www.alquimiadasaude.com.br/todos-os-produtos,draft
ALQ-IMPULSEBOX15SACHES-005,Impulse - Box 15 sachês,impulse-box-15-saches,Gel intra com 27g de carboidratos de pico para energia imediata e boa tolerância gastrointestinal.,Abacaxi com Hortelã,,,,Suplemento,,Alquimia da Saúde,,https://www.alquimiadasaude.com.br/impulse-box-15-saches,draft
ALQ-PALATINOSEEMPO300G-006,Palatinose em Pó - 300g,palatinose-em-po-300g,Isomaltulose em pó para liberação sustentada de energia; poupa glicogênio e reduz fadiga em treinos longos.,,,,,Suplemento,,Alquimia da Saúde,,https://www.alquimiadasaude.com.br/palatinose-em-po-300g,draft
ALQ-PALATINOSEEMPOSMAR-007,Palatinose em Pó - Smart Carb 300g,palatinose-em-po-smart-carb-300g,Palatinose™ Smart Carb 300g para endurance e desempenho estável.,,,,,Suplemento,,Alquimia da Saúde,,https://www.alquimiadasaude.com.br/todos-os-produtos,draft
ALQ-SMARTDRINKHYDRO750-008,Smart Drink Hydro - 750g,smart-drink-hydro-750g,Bebida de hidratação com eletrólitos e carbo para esforços prolongados; repõe minerais e energia.,,,,,Suplemento,,Alquimia da Saúde,,https://www.alquimiadasaude.com.br/smart-drink-hydro-750g,draft
ALQ-SMARTDRINKHYDROLAR-009,Smart Drink Hydro - Laranja & Hortelã 350g,smart-drink-hydro-laranja-amp-hortela-350g,Hidratação e reposição inteligente de minerais/eletrólitos com sabor Laranja & Hortelã.,Laranja & Hortelã,,,,Suplemento,,Alquimia da Saúde,,https://www.alquimiadasaude.com.br/smart-drink-hydro-laranja-amp-hortela-350g,draft
ALQ-SMARTDRINKHYDROLIM-010,Smart Drink Hydro - Limão & Hortelã 350g,smart-drink-hydro-limao-amp-hortela-350g,Hidratação esportiva eficiente com reposição de eletrólitos e energia. Sabor Limão & Hortelã.,Limão & Hortelã,,,,Suplemento,,Alquimia da Saúde,,https://www.alquimiadasaude.com.br/smart-drink-hydro-limao-amp-hortela-350g,draft
ALQ-SMARTDRINKHYDROPIN-011,Smart Drink Hydro - Pink Lemonade 750g - OUTLET,smart-drink-hydro-pink-lemonade-750g-outlet,Versão 750g do Hydro com sabor Pink Lemonade para hidratação e energia durante treinos intensos.,Pink Lemonade,,,,Suplemento,,Alquimia da Saúde,,https://www.alquimiadasaude.com.br/todos-os-produtos,draft
ALQ-HYDROSALTSBOX10UNI-012,Hydro Salts - Box 10 unidades,hydro-salts-box-10-unidades,Sais de reposição eletrolítica para uso durante treinos/competições (cápsulas).,,,,,Suplemento,,Alquimia da Saúde,,https://www.alquimiadasaude.com.br/compre-por-objetivo,draft
ALQ-ENERGIAPERFORMANCE-013,Energia Performance - Nitro 600 - 390g,energia-performance-nitro-600-390g,Pré-treino focado em performance com matriz de energia e suporte ao alto rendimento.,,,,,Suplemento,,Alquimia da Saúde,,https://www.alquimiadasaude.com.br/todos-os-produtos,draft
ALQ-ENERGIAPERFORMANCE-014,"Energia Performance – Uva Orgânica, Beterraba e Cacau 300g",energia-performance-uva-organica-beterraba-cacau-300g,"Fórmula natural para energia com beterraba, cacau e uva; suporte à performance.","Uva orgânica, beterraba e cacau",,,,Suplemento,,Alquimia da Saúde,,https://www.alquimiadasaude.com.br/todos-os-produtos,draft
ALQ-CREATINAMONOHIDRAT-015,Creatina Monohidratada - 300 g,creatina-monohidratada-300g,Creatina monohidratada em pó para força e potência muscular.,,,,,Suplemento,,Alquimia da Saúde,,https://www.alquimiadasaude.com.br/todos-os-produtos,draft
ALQ-RECOVERFISICO60CAP-016,Recover Físico - 60 Cápsulas Vegetais,recover-fisico-60-capsulas-vegetais,Fórmula de recuperação muscular e redução de fadiga em cápsulas.,,,,,Suplemento,,Alquimia da Saúde,,https://www.alquimiadasaude.com.br/todos-os-produtos,draft
ALQ-ENERGIADAYUSESMOOT-017,Energia Day Use - Smoothie Frutas Silvestres 350g,energia-day-use-smoothie-frutas-silvestres-350g,Smoothie energético para uso diário com frutas silvestres; suporte a disposição e foco.,Frutas Silvestres,,,,Suplemento,,Alquimia da Saúde,,https://www.alquimiadasaude.com.br/todos-os-produtos,draft
