sku,title,slug,description,variant,price,stock,imageUrl,category,subcategory,brand,mpPreferenceId,externalRef,status
PHB-OCULOSSCICONVERTEC-001,Óculos Scicon Vertec Cristal Lente Vermelha,oculos-scicon-vertec-cristal-lente-vermelha,,,"796,00",,,Equipamento,Óculos,SCICON,,https://powerhousebrasil.com.br/categoria-produto/scicon-gravtah/oculos-scicon/,draft
PHB-OCULOSSCICONAEROSH-002,ÓCULOS SCICON AEROSHADE KUNKEN CRISTAL LENTE MONOGRAMA PRATA,oculos-scicon-aeroshade-kunken-cristal-lente-monograma-prata,,,"1.890,00",,,Equipamento,Óculos,SCICON,,https://powerhousebrasil.com.br/categoria-produto/scicon-gravtah/oculos-scicon/,draft
PHB-OCULOSSCICONAEROSH-003,Óculos Scicon Aeroshade Kunken Cristal Lente Monograma Vermelho,oculos-scicon-aeroshade-kunken-cristal-lente-monograma-vermelho,,,"1.890,00",,,Equipamento,Óculos,SCICON,,https://powerhousebrasil.com.br/categoria-produto/scicon-gravtah/oculos-scicon/,draft
PHB-OCULOSSCICONAEROSH-004,Óculos Scicon Aeroshade Kunken Branco Lente Monograma Prata,oculos-scicon-aeroshade-kunken-branco-lente-monograma-prata,,,"1.890,00",,,Equipamento,Óculos,SCICON,,https://powerhousebrasil.com.br/categoria-produto/scicon-gravtah/oculos-scicon/,draft
PHB-OCULOSSCICONAEROSC-005,Óculos Scicon Aeroscope Preto Lente Vermelho,oculos-scicon-aeroscope-preto-lente-vermelho,,,"1.890,00",,,Equipamento,Óculos,SCICON,,https://powerhousebrasil.com.br/categoria-produto/scicon-gravtah/oculos-scicon/,draft
PHB-OCULOSSCICONAEROSC-006,Óculos Scicon Aeroscope Preto Lente Rosa e Lente Reserva Verde Trail,oculos-scicon-aeroscope-preto-lente-rosa-e-lente-reserva-verde-trail,,,"1.890,00",,,Equipamento,Óculos,SCICON,,https://powerhousebrasil.com.br/categoria-produto/scicon-gravtah/oculos-scicon/,draft
PHB-OCULOSSCICONAEROSC-007,Óculos Scicon Aeroscope Preto Lente Prata,oculos-scicon-aeroscope-preto-lente-prata,,,"1.890,00",,,Equipamento,Óculos,SCICON,,https://powerhousebrasil.com.br/categoria-produto/scicon-gravtah/oculos-scicon/,draft
PHB-OCULOSSCICONAEROSC-008,Óculos Scicon Aeroscope Preto Lente Bronze,oculos-scicon-aeroscope-preto-lente-bronze,,,"1.890,00",,,Equipamento,Óculos,SCICON,,https://powerhousebrasil.com.br/categoria-produto/scicon-gravtah/oculos-scicon/,draft
PHB-OCULOSSCICONAEROSC-009,Óculos Scicon Aeroscope Preto Lente Azul,oculos-scicon-aeroscope-preto-lente-azul,,,"1.890,00",,,Equipamento,Óculos,SCICON,,https://powerhousebrasil.com.br/categoria-produto/scicon-gravtah/oculos-scicon/,draft
PHB-OCULOSSCICONAEROSC-010,Óculos Scicon Aeroscope Cristal Lente Prata,oculos-scicon-aeroscope-cristal-lente-prata,,,"1.890,00",,,Equipamento,Óculos,SCICON,,https://powerhousebrasil.com.br/categoria-produto/scicon-gravtah/oculos-scicon/,draft
PHB-OCULOSSCICONAEROSC-011,Óculos Scicon Aeroscope Cinza Lente Vermelho,oculos-scicon-aeroscope-cinza-lente-vermelho,,,"1.890,00",,,Equipamento,Óculos,SCICON,,https://powerhousebrasil.com.br/categoria-produto/scicon-gravtah/oculos-scicon/,draft
PHB-OCULOSSCICONAEROSC-012,Óculos Scicon Aeroscope Cinza Lente Rosa e Lente Reserva Verde Trail,oculos-scicon-aeroscope-cinza-lente-rosa-e-lente-reserva-verde-trail,,,"1.890,00",,,Equipamento,Óculos,SCICON,,https://powerhousebrasil.com.br/categoria-produto/scicon-gravtah/oculos-scicon/,draft
